ICD Chapter Codes,ICD Chapter Names,ICD Block Names,Title,Research Summary,Inclusion Criteria
2,Neoplasms,Malignant neoplasm of breast,Technical development of Automated Low Dose Risk Assessment Mammography (ALDRAM) in women attending for annual mammography through a family history clinic,"Breast cancer (BC) is the commonest cause of death in young women. Breast screening in women aged 35-45, at increased risk due to their family history, has been shown to improve survival. However, 80% of women who develop BC do not have a family history. Numerous studies have shown that high mammographic density (MD) is one of the strongest risk factors for BC development. Full field digital mammography (FFDM) can be used to assess MD, however it is not recommended for population BC screening in those < 40 years of age due to the concerns about the use of ionising radiation. Safe and accurate high throughput methods to quantify MD in young women are thus required to improve risk prediction and reduce BC mortality. This study aims to develop a low dose mammogram, with quantification of density using artificial intelligence, to facilitate high throughput risk assessment in young women. 600 women aged 30-45, previously identified as being at increased risk of BC and attending for annual mammography at The Nightingale Centre will be recruited. Participants will undergo FFDM of the right breast as usual, however, following acquisition of the craniocaudal (CC) view, the breast will remain compressed and the mammogram dose reduced by 90% to deliver a LD mammogram. This process will be repeated for the right medio-lateral oblique (MLO) view. The left breast FFDM will proceed as normal. We estimate that each extra exposure will take 1-2 minutes only. We will use deep machine learning methods to define the relationship between standard FFDM views and their low dose counterparts and determine which view (CC vs MLO) provides the best correlation to be taken forward to the next stage of the research.","-Females with moderate to high risk of breast cancer, identified through and attending for annual review and mammography at the family history clinic, Nightingale Centre, Manchester -Current age 30-45 years -Capable of providing informed consent to a patient information sheet written in English"
4,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"A low-carbohydrate, low-energy dietary intervention for patients with type 2 diabetes in primary care: a feasibility study","Type 2 diabetes is a lifelong condition in which a personâs blood sugar levels are too high. It affects 1 in 16 people in the UK, and causes almost 15% of adult deaths worldwide. If it isnât controlled, it can lead to blindness, kidney failure, and heart disease. We know that what we eat affects our blood sugar levels, and that changing our diets and losing weight can both help to control diabetes. However, it is not clear what the best advice is to help people achieve this goal. Committed clinicians have shown that, in selected patients, low-carbohydrate, low-energy diets can transform the lives of people with type 2 diabetes, reducing the need for medications, improving quality of life and reducing costs for the NHS. However, we donât know whether this will work for everyone with diabetes, and whether this diet can be managed without intensive help from specialists. We aim to investigate whether it is possible for GPs and practice nurses to support people with type 2 diabetes to change their diet. First to reduce their energy intake to around 800 calories per day for 8 weeks (mostly by cutting out carbohydrates, found in foods like cakes and biscuits but also bread, pasta, rice and potatoes), and second to gradually increase their energy intake while still severely restricting the amount of carbohydrate. We will measure how well the advice is delivered and how successful people are in following the programme over a 3 month period. The findings from this early stage testing will help to refine the programme before we progress to a full-scale study, to investigate whether this diet can improve blood sugar control more effectively than the standard dietary advice for people with diabetes.","- Participant is willing and able to give informed consent for participation in the study. - Male or Female, aged 18 years or above. - BMI of > = 30kg/m2 - Diagnosed with type 2 diabetes, as defined by an HbA1c > = 48mmol/mol, and who would consider (or prefer) using dietary means rather than increasing medications to improve diabetic control and their general health. - Patients must have undergone diabetic retinopathy screening within the last 12 months."
14,Diseases of the genitourinary system,Renal failure,Strategy for timely intervention of renal support in the ICU,"Critically ill patients who develop acute kidney injury (AKI) have high hospital mortality rates in excess of 50%, despite remarkable improvements in the overall intensive care treatment and the availability of new renal replacement therapy (RRT) methods. RRT is an essential component of modern critical care but the optimal time for starting RRT remains unknown. Furthermore, we do not have a reproducible approach for evaluating patients to decide who needs RRT in the intensive care unit (ICU) setting. It is our hypothesis that there is a need for a dynamic risk-stratification tool to identify patients who will or won't need RRT for management of their AKI. In collaboration with a team in San Diego (US), we previously developed a clinical index based on routinely available clinical and laboratory parameters. The index represents the relationship between metabolic and fluid demands placed on the kidneys versus the capacity of the kidneys to handle the demand (i.e. Demand / Capacity index) In this feasibility project, we plan to validate this Demand / Capacity (D/C) index. We propose to demonstrate that sequential assessment of the D/C clinical index in high-risk patients can assist clinicians determining the optimal time for starting, withholding and stopping RRT. For this purpose, we plan to analyse sequential routinely available data of 100 high-risk patients and determine their daily D/C clinical index. After the patient has been discharged from the ICU, we present the D/C index together with the clinical data to the treating clinician and explore whether knowledge of the D/C index would have changed their decision to start, withhold or stop RRT.",â¢ Adult patients > = 18 years â¢ Potential ICU stay > 72 hours
10,Diseases of the respiratory system,Chronic lower respiratory diseases,Can Internet of Things (IoT) technologies enhance self-efficacy and self-management in people with chronic obstructive pulmonary disease (COPD)? : an exploratory study,"Chronic obstructive pulmonary disease (COPD) is a long-term lung condition estimated to affect over 1.2 million people in the UK. Death rates from COPD world-wide are increasing rapidly. Common symptoms include breathlessness, cough, fatigue and altered mood. The condition is managed by a combination of medication, exercise and patient education. Patients are offered a structured programme (Pulmonary rehabilitation PR), which focuses on education, exercise and self-management. Medication and PR are effective, if the principles and methods are sustained. However, air quality, temperature, inhaler technique and fear of worsening symptoms affect patient compliance and symptom experience. COPD has great potential to yield benefits from advanced technologies (e.g. mobile phone applications, âsmartâ devices and sensors to detect movement or environmental conditions), collectively known as âInternet of things (IoT) technologiesâ, but their application is currently limited. CityVerve (http://www.cityverve.org.uk/what-is-cityverve/) consists of a number of research projects, acting as âdemonstratorsâ for a range of IoT technologies, exploring the âadded valueâ of combining technologies. This project poses the question: Could information gleaned and collated from IoT technologies be useful and/or acceptable to patients and their clinicians in the day to day management of COPD? Participants living on or close to âCorridor Manchesterâ (http://www.corridormanchester.com/) will be recruited via primary or secondary care clinics or websites and databases. Study participants will complete 3 questionnaires (pre and post study), use a smart inhaler for 8 weeks, and have up to four sensors placed in their homes to record humidity, temperature, light and movement. A smaller sub-sample (N=12-15) will undergo an individual interview after the technology usage period. Patients will receive feedback/reminders/encouragement via the phone app. With consent, individual data will be shared with named clinicians to assist patient care and decision making. Only aggregated/pseudonymised data will be shared more widely. Also 12 healthcare professionals will be interviewed individually.","People with diagnosed COPD of any severity Use a specific inhaler type (basic pMDI) Live on or close to âCorridor Manchesterâ(Ardwick, Longsight, Fallowfield, Moss Side, Rusholme, Hulme, Levenshulme, Gorton, Belle Vue, and Burnage) and extending recruitment to Wythenshawe if necessary. Any nationality or language group Healthcare Professionals(any grade)caring for the patient participants Minimum of one year experience of working with people with COPD"
22,Codes for special purposes,Provisional assignment of new diseases of uncertain etiology,COVIDTrach; a UK national cohort study of mechanically ventilated COVID-19 patients undergoing tracheostomy,"When COVID-19 leads to a severe infection in the lung patients need to be placed on a ventilator. Clinical practice before the pandemic was for patients who were expected to be on the ventilator for over 7 days to undergo a tracheostomy, a surgical procedure to put a breathing tube through the neck into the windpipe. It is uncertain whether patients with COVID-19 also benefit from this operation due to the severity of their respiratory illness and high death rate. Furthermore, there is concern that opening the airway through the tracheostomy puts health care professionals performing the procedure at risk of being infected by the corona virus. COVIDTrach is collaborative project by surgeons and intensive care doctors that looks at the outcomes of ventilated COVID-19 patients undergoing tracheostomy and evaluates the use of personal protective equipment and rate of COVID-19 infection amongst operators. So far data on 800 patients have been entered in an online database as part of a national audit and service evaluation; this proposal focuses on expanding and completing this database to answer research focused questions on the safety and effectiveness of tracheostomy in COVID-19.",Adult patients diagnosed with COVID-19 and mechanically ventilated who have undergone elective surgical or percutaneous tracheostomy; of any adult age and gender. Health care professionals performing the tracheostomy both as lead operator and assistant.
10,"Pregnancy, childbirth and the puerperium",Delivery,Prostaglandin insert (Propess) versus tran-scervical balloon catheter for out-patient labour induction: A randomised controlled trial of feasibility (PROBIT-F),"Labour is a natural process, but sometimes it needs to be started artificially (Induction of labour). Currently, two methods of induction are used. The aim of this project is to compare how well these methods of labour induction work, which is the safest and least expensive method, and which is more acceptable to and favoured by women. The first method is PGE2 (synthetic prostaglandin), administered as a pessary (Propess) introduced in the vagina that delivers prostaglandin over 24 hours. The drug acts by softening the neck of the womb (cervix). Side effects include commencement of labour pains (contractions), which can sometimes be too frequent/strong and may be harmful to the baby and/or mother. The second less commonly used method is a catheter - a soft rubber tube with an inflatable balloon at the tip. The balloon is placed in the cervix, and softens it by causing the release of natural hormones (prostaglandins) produced by the woman's body. Excessive contractions have not been reported with catheter use. The catheter is an equally effective (but possibly safer and cheaper alternative to Propess) and is currently underutilised; and its use in the outpatient setting deserves further exploration. In this study, we want to find out if the balloon catheter is acceptable to women for labour induction as an out-patient, and furthermore whether women are willing to be allocated at random to Propess or the catheter, and explore their experiences. This data will help us to assess the feasibility and design of a larger future trial.","1. Pregnant women aged 18 years or over with a single fetus and uncomplicated pregnancy, who were at a Gestational age > 37 completed weeks, needing induction of labour. 2. No medical risk factors. 3.Able to provide informed consent"
2,Neoplasms,Malignant neoplasm of breast,"An international Phase 4 field study to analyse the psychometric properties of the updated module on assessing quality of life of patients with breast cancer (EORTC QLQ-BR23, Update EORTC QLQ-BR45)","This study is for breast cancer patients with localised/locally advanced disease, metastatic disease or those on follow up. The objective is to test the psychometric properties of the newly updated EORTC QLQ-BR45, a breast cancer specific quality of questionnaire. This will be administered along with a general quality of life questionnaire called the EORTC QLQ-C30. All participants will complete the questionnaires (consisting of 78 questions) at one time point whilst attending the hospital for a routine visit. If patients are no longer having a routine follow up, they can be contacted by an ethically approved invite letter. The questionnaires will assess patient's quality of life. A small number will be asked to complete these questionnaires again at a second time point to test if the questionnaire is able to detect change and is reliable. This study will take place in St James Hospital in Leeds, UK as part of a wider international study. This ethics application is for the UK only and the University of Leeds is acting as sponsor. The study is funded by the EORTC (European Organisation for Research and Treatment of Cancer), a non-profit organisation based in Brussels.",- Adult females aged 18 years or over - Histologically confirmed diagnosis of breast cancer (any type) with no previous primary or recurrent tumour - Receiving or have previously received curative or palliative treatment. - Able to understand/speak English and complete the questionnaires - Have the capacity/mental fitness to give written informed consent and complete the questionnaires.
6,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,The Next Step Study- A study to determine the reliability and validity of a novel measure of dynamic balance during stepping in children with cerebral palsy.,"Children with cerebral palsy frequently undertake clinical interventions aimed at improving their balance and walking. This study will test a childâs steeping accuracy and body movement as they step onto targets with each leg. We will assess whether these measures are related to other clinical measures of Cerebral Palsy and whether they are reproducible between people and across time. Understanding a measures properties is important if we are to use them in trials and clinical practice. Twenty-five children with Cerebral Palsy will be asked to attend on two occasions. Each session will take up to 90 minutes to complete. Balance while stepping will be measured using a camera that monitors the movement of markers attached to the hips and feet and using a plate that can measure the forces generated while stepping. Children will be asked to step with either foot to targets in front of them or to the side. There will be 15 steps per target and rests will be provided as required. The stepping accuracy and movement of the body will be measured. On session 1 the test will be performed once. On session 2 the test will be repeated twice, once with the person running the test in session 1 and once with another researcher. In addition on session 1 we will measure childrenâs quality of movement while performing everyday tasks. In session 2 we will take measures of some common clinical problems such as leg strength, stiffness and range of motion. We will compare the results of the step test and clinical measures to 25 typically developing children of a similar age. We will see if the measures are reproducible and have any association with the clinical measures of quality of movement and clinical severity.","Children with cerebral palsy who can stand without holding onto equipment but may walk with crutches, sticks or frames- Gross Motor Function Classification levels 1-3. Also a control group of typically developing, aged-matched peers."
5,Mental and behavioural disorders,Mood [affective] disorders,Assessment of the asthma specific emotional profile in individuals with asthma and their partners,"Asthma is a disease with a variety of causes, severity and response to treatment. There is research evidence that patients whose asthma is less well controlled suffer higher levels of anxiety and depression compared to healthy people. Research has also shown that individuals with asthma who suffer from psychological distress have worse asthma and poorer self-management. Interventions addressing these psychological disorders have, however, not led to improved asthma control. One possible reason is that increased anxiety and depression arise due to a range of differing emotions. As such, it is important to understand what 'basic emotions' are present in relationship to asthma, such as fear, disgust, sadness or anger and whether these differ from patient to patient. It is also important to understand how they change, through assessing whether there is difference between these emotions and/or their intensity when the asthma is stable and when it flares up. Informal carers of chronically ill patients have also been shown to have increased levels of psychological disorders. Patients and partners can be looked at as one functional unit, so called 'dyad' where one partner's well-being impacts on the other's and vica versa. Therefore it is also important to understand the partners' psychological processes similarly to that of the patients. This study will use questionnaires to identify participantsâ asthma specific emotions and measure their intensities together with levels of anxiety and depression and perceived asthma control. Participants will be asked to complete two sets of questionnaires , one when the asthmatic partner is in stable condition and one when the disease worsens. Patients and partners will be asked to complete the questionnaires independently in their own homes and return them to the researchers by freepost. Returning the completed questionnaires will imply consenting to the study.",Patients with asthma or partners of individuals living with asthma Minimum 18 years of age
2,Neoplasms,"Malignant neoplasms of ill-defined, secondary and unspecified sites",The effect of ketosis on FDG metabolism and PET-CT image quality in cancer,"2-deoxy-2-[18F]fluoro-D-glucose (FDG) positron emission tomography-computed tomography (PET-CT) is a cancer imaging technique, which involves injecting a weakly radioactive form of glucose or 'sugar' known as fluorodeoxyglucose (FDG) into the bloodstream. Cancer cells use glucose to generate energy and so accumulate large amounts of FDG, making them visible and readily detectable on PET images. However, normal cells use glucose for energy, making them also visible on PET images. This can sometimes make it difficult to identify where cancer cells are or where they have spread to, especially if some cancers demonstrate very little FDG uptake compared to nearby normal tissues or if cancer cells are located in organs which utilise large amounts of glucose, i.e. the brain. Ketones are natural substances produced by burning fat and represent an evolutionary response to sustain life in response to situations where carbohydrate (glucose) intake/stores are low, e.g. starvation. Ketones acts as fuels for energy but importantly are also able control the choice of fuel used by normal cells, by reducing the amount of glucose being burnt for energy. We believe that, by using a ketone drink to elevate circulating ketone levels in the bloodstream, equivalent to several daysâ worth of fasting (ketosis), it will reduce the number of normal cells utilising glucose and in turn lead to fewer normal cells being visible on the PET images, thereby beneficially influencing image quality. 57 patients with proven cancer already undergoing a FDG PET-CT as part of their routine clinical management, will be invited to return the Kingâs College London & Guyâs and St. Thomasâ (KCL/GSTT) PET Centre, for an additional research FDG PET-CT scan, within 15 working days of their clinical study, which will only differ by the ingestion of a ketone drink prior to scanning. The study is being funded by the Medical Research Council.","â¢ Participant is willing and able to give informed consent for participation in the study. â¢ Histologically proven primary malignancy in one or multiple body organs; this may include patients with lymphoma (Hodgkinâs and non-Hodgkinâs), lung cancer, head and neck cancer, and patients with colorectal cancer with liver metastases for example. â¢ Age > 18 years."
5,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",Independent Living Support Functions for the Elderly (IN LIFE),"Independent Living Functions for the Elderly (IN-LIFE) is a 3 year multidisciplinary European project that is funded by Horizon 2020. IN LIFE aims to prolong and support independent living for people with dementia using ICT's. Sheffield is one of six pilot sites across Europe and is also the only UK site. Researchers have been focusing on the potential of technologies in promoting independence for people living with dementia, generally to assist with aspects of safety and security. It is only recently that the potential of technologies as an intervention to support communication, social interaction and leisure activity has been recognised. The Computer Interactive Reminiscence and Conversation Aid (CIRCA) is an innovatively designed interactive software application comprising generic digital media including video, music and photographs (Astell et al 2010).CIRCA is presented on a touch-screen computer that requires no previous knowledge or experience of ICT and is intuitive to use. Previous evaluations of CIRCA have established a number of benefits for both the person living with dementia and those in a supporting role although these evaluations have been small scale and qualitative in nature. IN-LIFE is an opportunity to evaluate the CIRCA computer software with large quantities of people. The intervention consists of 4 phases overall and this application is concerned with phases 2 and 3. Phase 2 will recruit 120 people living with dementia and phase 3 60 people, from Sheffield Memory Services and GP practices. Potential participants will have received a recent diagnosis of dementia (within 12 months) and all those involved will participate from their own homes. Participation will involve a touch screen computer being installed in the persons home enabling interaction for 2 weeks. Measures will be taken before and after the intervention and again a 3 months post intervention.","A recent diagnosis of dementia from Sheffield Memory Services Has the capacity to provide informed written consent Living in their own home Adequate use of the English language Can participate as a dyad (alongside spouse, other family member or friend)"
17,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system,Prophylactic treatment of the ductus arteriosus in preterm infants by acetaminophen,"Treocapa is a Phase II/III European multicenter double-blind randomized trial, concerning prophylactic treatment with acetaminophen (paracetamol) for the first 5 days of life in extremely preterm infants. Premature birth is a significant cause of infant and child morbidity and mortality. Despite technological advances and efforts of child health experts during the last 20 years, the extremely premature infant remains at high risk for death and disability with 15-30% mortality and, in survivors, at least 20-30% risk of morbidity. The ductus arteriosus is open in all newborns at birth. Its constriction and closure are part of the normal process of postnatal adaptation. However, in many extremely preterm infants, the ductus arteriosus does not constrict itself. This defect of early constriction often persists and is a good predictor of subsequent development of patent symptomatic ductus arteriosus (PDA) which is associated with mortality and morbidity. The use of a medication that has an effect on ductus arteriosus with fewer adverse effects, i.e. acetaminophen, could be a safe alternative to current treatments. Thus, early prophylactic treatment of ductus arteriosus by acetaminophen among many neonatologists seems to be an opportunity to reduce mortality and morbidity Phase II is a dose finding phase in order to assess the minimum effective dose regimen (MEDR) of acetaminophen for the closure of PDA for neonates with a gestational age less than 27 weeks Phase III is a randomized, multicenter, double-blind, placebo-controlled superiority trial, two arms in a 1:1 ratio. In the intervention arm, 20 mg/kg followed by 7.5 mg/kg quarter in die (QID) will be administered to the 27-28 weeks gestational age group (dosage confirmed through PK/PD data analysis from the previous Finnian study) and the dosage selected after the conclusion of the Phase II will be administered to the 23-26 weeks gestational age group.","Study population âª The study population of the Phase II is constituted of 30 preterm infants of 23-26 weeks of gestational age (10 patients in 23-24 weeks of gestational age, 10 patients in 25 weeks of gestational age and 10 patients in 26 weeks of gestational age). âª The study population of the Phase III, is constituted of 396 preterm infants of 23-26 weeks of gestational age and of 398 preterm infants of 27-28 weeks of gestational age Inclusion criteria âª Birth between 23-26 W for Phase II, between 23-28 W for Phase III âª Post natal age < 12 hours âª Parental or Legal Authority Consent âª Parents with a social security or health insurance (if applicable according to the local regulation)"
13,Diseases of the musculoskeletal system and connective tissue,Arthrosis,Pilot Randomised Controlled Trial to determine the safety and early efficacy of the Direct Superior Approach in Total Hip Replacement,"Total hip replacement (THR) is routinely performed via a standard posterior or lateral approach. Indeed, 95% of the 90,000 THRs performed in England, Wales and Northern Ireland in 2016 were performed through standard posterior or lateral approaches. These approaches to the hip joint give excellent visualisation of hip anatomy; however, this comes at the cost of a relatively large incision and the sacrifice of some muscle and tendon. These drawbacks led surgeons to develop techniques to perform THR through smaller incisions, termed minimally invasive THR. Minimally invasive THR has been defined by an incision length of 12 cm or less. Proponents of minimally invasive THR believe the potential benefits to be a reduction in soft-tissue trauma, shorter intraoperative time, less perioperative blood loss, less postoperative pain, more rapid rehabilitation, earlier hospital discharge, and improved cosmetic appearance. Critics believe that the disadvantages include reduced operative visualization, a steep learning curve, an increased risk of neurovascular complications, a higher prevalence of dislocation, excessive skin trauma, and compromised implant fixation and positioning. One such minimally invasive approach is the direct superior approach. To investigate whether the direct superior approach is superior than the standard extended posterior approach in total hip replacement, a randomised controlled trial comparing the two is required. We plan to perform a pilot study, with 30 patients in total, with the aim of investigating whether a fully powered trial would be feasible.","â¢ Participant is willing and able to give informed consent for participation in the trial â¢ Male or Female, aged 18 to 85 years at recruitment into trial â¢ Diagnosed with hip OA, post-traumatic OA, inflammatory arthropathy, avascular necrosis, or congenital or developmental hip disease, avascular necrosis of the hip â¢ Listed for total hip arthroplasty at the study centre â¢ Female participants of child bearing potential must be willing to ensure that they use effective contraception during the trial â¢ Participant is fit to undergo total hip replacement based on consultant anaesthetist review â¢ In the Investigatorâs opinion, is able and willing to comply with all trial requirements â¢ Willing to allow his or her General Practitioner and consultant, if appropriate, to be notified of participation in the trial"
10,Diseases of the respiratory system,Other diseases of the respiratory system,Role of mathematically arterialised venous blood sampling in the assessment and management of adult subjects with respiratory failure; a prospective observational cohort study to investigate the physiological agreement between arterial sampling (the reference method) and mathematically arterialised venous blood sampling and the impact upon clinical decision-making and patient experience.,"Accurate assessment of gas exchange is essential to manage patients with acute and chronic respiratory failure (too high levels of CO2 in blood). Current guidance is to use arterial blood gas (ABG) sampling. However, clinicians are looking for other approaches as ABG sampling can cause complications including pain (frequent) and injury to the artery. Existing alternative methods include capillary blood gas (CBG) samples via earlobe puncture. In comparison to ABGs, CBGs are easier to obtain and usually less painful. However, they are less accurate. A newer method, v-TAC, is available. V-TAC combines measurements from venous blood (VBG) with oxygen saturation data collected from a pulse oximeter in a process of mathematical arterialisation. VBG sampling is easier and less painful than ABG sampling, but accuracy is limited without mathematical arterialisation. If this method is to be adopted we must ensure that the results obtained are reliable and robust enough to base clinical decisions on, especially for a population of patients with high in-hospital mortality. To date, no studies have evaluated whether calculated arterial values (v-TAC) provide a useful substitute to directly measured values in clinical decision-making. Therefore, we will assess patients with known or suspected chronic respiratory failure. We will obtain simultaneous blood gas samples obtained via arterial, capillary, and venous methods. Any impact on clinical decision making could be assessed by comparing the agreement of ABG, v-TAC, and CBG results against pre-defined clinical treatment thresholds; including the accuracy of detection of a minimally important clinical change in carbon dioxide levels and also the ability of v-TAC to identify clinically relevant treatment thresholds. The primary measure will focus on the comparison of v-TAC to ABG, the existing gold standard. Secondary measures will assess the agreement of all other methods of blood gas sampling, including CBG and VBG.",â¢ Participant is willing and able to give informed consent for participation in the study. â¢ Aged 18 years or above. â¢ Admitted for consideration of home non-invasive ventilation. â¢ Due to undergo arterial blood gas sampling as part of routine clinical care.
5,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders","Patientsâ and Practitionersâ views on detecting, diagnosing and managing Anxiety Disorders in Primary Care","Anxiety disorders are a common mental disorder seen in primary care. It has been suggested that there has been a 40% increase in generalised anxiety disorder in the general population between 2007 and 2014. Whilst GP recording of anxiety symptoms has also increased, GP recording of anxiety disorders has decreased between 1998 to 2008. It is not clear why there is a disparity between the increase seen in the general population and estimates based on GP recordings of anxiety disorders, but it may be due to a reluctance by GPs to label patients with an anxiety disorder. In addition, anxiety and depression frequently co-occur, and there may be a tendency by GPs to prioritise recording depression over anxiety, potentially as a result of the 2014 Quality and Outcomeâs Framework. However, little is known about how GPs view the labelling and recording of anxiety, and their experience of discussing symptoms of anxiety or anxiety disorders with patients. Moreover, research suggests that patients may feel reluctant to seek help because they think that GPs may see symptoms as âtrivial, or there is a lack of encouragement by GPs to disclose psychological problems. Yet to date, no study in the UK has asked patients specifically about their views and experiences of seeking help for anxiety. The aim of this study is to interview patients, GPs, and clinicians who provide therapy to those with anxiety disorders, to understand how they view and experience the identification, diagnosis and management of anxiety disorders. Around 15 GPs, 20 patients, and 15 therapists will be interviewed. The interviews will be audio-recorded, fully transcribed and analysed so that the views practitioners and patients hold towards specific issues can be summarised and highlighted. By understanding more about these issues, we aim to improve patient care and outcomes for this group.","The study will entail conducting interviews with three groups: GPs, Patients and IAPT therapists. Inclusion criteria for GPs will include: 1.Working within the practices purposefully sampled to take part in the study. 2.Willing to give informed consent to take part in an interview 3.Able to understand and communicate in English. 4.If they wish to complete the interview over the telephone - have access to a land-line or mobile telephone over which an interview can be held. Inclusion criteria for Patients will include: . Aged 18 years or older 2. Have either a current diagnosis of an Anxiety Disorder, or a current diagnosis of Mixed Anxiety and Depressive Disorder, or have reported symptoms of anxiety to their GP in the past year. 3. Willing to give informed consent to take part in an interview. 4. Able to understand and communicate in English. 5. If they wish to complete the interview over the telephone - have access to a land-line or mobile telephone over which an interview can be held. Inclusion criteria for IAPT Therapists will include: Therapists eligible to participate will be those: 1. Willing to give informed consent to take part in an interview. 2. Able to understand and communicate in English. 3. If they wish to complete the interview over the telephone - have access to a land-line or mobile telephone over which an interview can be held. 4. Working within the local IAPT services (including Bristol Wellbeing Therapies or Oasis Talk)."
15,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",The roles of aldosterone and salt in normal pregnancy and pre-eclampsia,"Pregnant women need to retain some salt. Pre-eclampsia (high blood pressure and protein in urine) affects 2-7% of pregnant women and is potentially life-threatening to mother and baby. Both are also more likely to develop heart disease later in life. Outside pregnancy, high salt intake causes an increase in blood pressure. However our initial studies have shown that healthy women, early in pregnancy, have lowered blood pressure in response to salt. This agrees with earlier clinical studies, which indicated that the reduction of salt intake did not improve development of pre-eclampsia. My research, therefore aims to look at salt intake, in both healthy pregnancies and in women who develop pre-eclampsia. I will also study whether salt-sensing is altered, leading to a loss of salt from the body, resulting in high blood pressure and pre-eclampsia. We hope to use the results from this research to see if higher intakes of salt in pregnancy can reduce the chances of developing pre-eclampsia. We hope to find out more on how blood vessels work and whether extra salt can improve the chances of a healthy pregnancy and normal development of the placenta. We will also see if salt reduces the chances of women developing pre-eclampsia and, if it does, to understand how it does so. If we know more about these dietary-related changes, we may be able to advise at-risk women to take salt supplements to reduce their chances of developing pre-eclampsia, which may help prevent problems such as heart disease when the mother and baby are older","Pregnant women at term: â¢ Pregnant women, aged between 18 years of age and 45 years of age inclusive, who are either normotensive (for control tissue), or with GH, PE, with or without IUGR or IUGR alone or PTB. Pregnant women undergoing elective termination of pregnancy: â¢ Pregnant women, aged between 18 years of age and 45 years of age inclusive, having an elective surgical termination of pregnancy in the first and early second trimester (6-18 weeks of gestation). Non-pregnant women: â¢ Healthy, premenopausal non-pregnant women, not on hormonal methods of contraception or any medication, 18-45 years of age"
10,Diseases of the respiratory system,Other diseases of the respiratory system,The relationship between arterial stiffness and respiratory failure: using Motor Neurone Disease as a paradigm to assess the consequence of sleep disordered breathing on arterial stiffness,"In Chronic Obstructive Pulmonary Disease (COPD) and Obstructive Sleep Apnoea (OSA) there are abnormalities in arterial stiffness due to hypoxemia with or without hypercapnia. These abnormalities in arterial stiffness could be driven by the risk factors for those conditions (e.g. cigarette smoke, obesity). Neuromuscular disease also causes hypoxemia and/or hypercapnia, without these risk factors. Thus the opportunity exists to determine whether hypoxemia and/or hypercapnia alone cause arterial stiffness. We hypothesized that arterial stiffness is increased in motor neurone disease patients with hypoxaemia including respiratory failure compared to those without and that non invasive ventilation has an effect on arterial stiffness in these patients. The study aims to compare the arterial stiffness in motor neuron disease patients with hypoxaemia and/or hypercapnia with those without. Patients will be treated according to the 'best clinical' practice and re-assessed after 6 week to assess for changes following treatment with non-invasive ventilation.",â¢ Motor Neurone Disease diagnosis â¢ The ability to perform the respiratory function testing satisfactorily â¢ Stable clinical and functional state for at least four weeks before testing
9,Diseases of the circulatory system,Other forms of heart disease,Orodispersible Minitablets of Enalapril in Young Children with Heart Failure Due to Congenital Heart Disease,"Enalapril maleate has established medical use in children above 20kg (about 6 years of age) and has been marketed in Europe since 1983. In children below 20kg of weight, enalapril is widely used offÂ¬label on the basis of a few clinical studies. Its safety and efficacy is well understood, especially in the older population and is regarded as gold standard therapy in heart failure. Enalapril is currently available only in the form of tablets in the European Union. Although oral liquids from crushed tablets are commonly used for infants and young children, they are less portable than solids. Also, due to problems when the drug is dissolved, solid oral paediatric dosage forms are needed. Within the LENA project, the new dosage form of so called orodispersible minitablets (ODMTs) will be used as a vehicle for enalapril. ODMTs are small sized tablets (2mm in diameter) which immediately disintegrate in the mouth. Hence, accidental particle inhalation or in the worst case aspiration pneumonia can be prevented. This study will involve children from birth up to 6 years of age, all of whom have heart failure due to congenital heart disease. The children will be seen and treated at the hospital where their routine clinical care already takes place. The participation in the study will last between 3 days and 8 weeks, depending on how many does titrations are needed. The children will attend for a maximum of 11 visits (depending on dose titration) at which physical examinations, ECGs, Echocardiography, blood and urine sampling and continuous blood pressure monitoring will take place.",Diagnosis of heart failure due to Congenital Heart Disease (CHD) requiring after load reduction by drug therapy Weight >2.5kg Subjects may be naÃ¯ve to ACE Inhibitors. Subjects already on ACE Inhibitors willing to switch to enalapril Orodispersible Minitablets.
