ICD Chapter Codes,ICD Chapter Names,ICD Block Names,Title,Research Summary,Inclusion Criteria
5,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders","Patientsâ and Practitionersâ views on detecting, diagnosing and managing Anxiety Disorders in Primary Care","Anxiety disorders are a common mental disorder seen in primary care. It has been suggested that there has been a 40% increase in generalised anxiety disorder in the general population between 2007 and 2014. Whilst GP recording of anxiety symptoms has also increased, GP recording of anxiety disorders has decreased between 1998 to 2008. It is not clear why there is a disparity between the increase seen in the general population and estimates based on GP recordings of anxiety disorders, but it may be due to a reluctance by GPs to label patients with an anxiety disorder. In addition, anxiety and depression frequently co-occur, and there may be a tendency by GPs to prioritise recording depression over anxiety, potentially as a result of the 2014 Quality and Outcomeâs Framework. However, little is known about how GPs view the labelling and recording of anxiety, and their experience of discussing symptoms of anxiety or anxiety disorders with patients. Moreover, research suggests that patients may feel reluctant to seek help because they think that GPs may see symptoms as âtrivial, or there is a lack of encouragement by GPs to disclose psychological problems. Yet to date, no study in the UK has asked patients specifically about their views and experiences of seeking help for anxiety. The aim of this study is to interview patients, GPs, and clinicians who provide therapy to those with anxiety disorders, to understand how they view and experience the identification, diagnosis and management of anxiety disorders. Around 15 GPs, 20 patients, and 15 therapists will be interviewed. The interviews will be audio-recorded, fully transcribed and analysed so that the views practitioners and patients hold towards specific issues can be summarised and highlighted. By understanding more about these issues, we aim to improve patient care and outcomes for this group.","The study will entail conducting interviews with three groups: GPs, Patients and IAPT therapists. Inclusion criteria for GPs will include: 1.Working within the practices purposefully sampled to take part in the study. 2.Willing to give informed consent to take part in an interview 3.Able to understand and communicate in English. 4.If they wish to complete the interview over the telephone - have access to a land-line or mobile telephone over which an interview can be held. Inclusion criteria for Patients will include: . Aged 18 years or older 2. Have either a current diagnosis of an Anxiety Disorder, or a current diagnosis of Mixed Anxiety and Depressive Disorder, or have reported symptoms of anxiety to their GP in the past year. 3. Willing to give informed consent to take part in an interview. 4. Able to understand and communicate in English. 5. If they wish to complete the interview over the telephone - have access to a land-line or mobile telephone over which an interview can be held. Inclusion criteria for IAPT Therapists will include: Therapists eligible to participate will be those: 1. Willing to give informed consent to take part in an interview. 2. Able to understand and communicate in English. 3. If they wish to complete the interview over the telephone - have access to a land-line or mobile telephone over which an interview can be held. 4. Working within the local IAPT services (including Bristol Wellbeing Therapies or Oasis Talk)."
15,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",The roles of aldosterone and salt in normal pregnancy and pre-eclampsia,"Pregnant women need to retain some salt. Pre-eclampsia (high blood pressure and protein in urine) affects 2-7% of pregnant women and is potentially life-threatening to mother and baby. Both are also more likely to develop heart disease later in life. Outside pregnancy, high salt intake causes an increase in blood pressure. However our initial studies have shown that healthy women, early in pregnancy, have lowered blood pressure in response to salt. This agrees with earlier clinical studies, which indicated that the reduction of salt intake did not improve development of pre-eclampsia. My research, therefore aims to look at salt intake, in both healthy pregnancies and in women who develop pre-eclampsia. I will also study whether salt-sensing is altered, leading to a loss of salt from the body, resulting in high blood pressure and pre-eclampsia. We hope to use the results from this research to see if higher intakes of salt in pregnancy can reduce the chances of developing pre-eclampsia. We hope to find out more on how blood vessels work and whether extra salt can improve the chances of a healthy pregnancy and normal development of the placenta. We will also see if salt reduces the chances of women developing pre-eclampsia and, if it does, to understand how it does so. If we know more about these dietary-related changes, we may be able to advise at-risk women to take salt supplements to reduce their chances of developing pre-eclampsia, which may help prevent problems such as heart disease when the mother and baby are older","Pregnant women at term: â¢ Pregnant women, aged between 18 years of age and 45 years of age inclusive, who are either normotensive (for control tissue), or with GH, PE, with or without IUGR or IUGR alone or PTB. Pregnant women undergoing elective termination of pregnancy: â¢ Pregnant women, aged between 18 years of age and 45 years of age inclusive, having an elective surgical termination of pregnancy in the first and early second trimester (6-18 weeks of gestation). Non-pregnant women: â¢ Healthy, premenopausal non-pregnant women, not on hormonal methods of contraception or any medication, 18-45 years of age"
10,Diseases of the respiratory system,Other diseases of the respiratory system,The relationship between arterial stiffness and respiratory failure: using Motor Neurone Disease as a paradigm to assess the consequence of sleep disordered breathing on arterial stiffness,"In Chronic Obstructive Pulmonary Disease (COPD) and Obstructive Sleep Apnoea (OSA) there are abnormalities in arterial stiffness due to hypoxemia with or without hypercapnia. These abnormalities in arterial stiffness could be driven by the risk factors for those conditions (e.g. cigarette smoke, obesity). Neuromuscular disease also causes hypoxemia and/or hypercapnia, without these risk factors. Thus the opportunity exists to determine whether hypoxemia and/or hypercapnia alone cause arterial stiffness. We hypothesized that arterial stiffness is increased in motor neurone disease patients with hypoxaemia including respiratory failure compared to those without and that non invasive ventilation has an effect on arterial stiffness in these patients. The study aims to compare the arterial stiffness in motor neuron disease patients with hypoxaemia and/or hypercapnia with those without. Patients will be treated according to the 'best clinical' practice and re-assessed after 6 week to assess for changes following treatment with non-invasive ventilation.",â¢ Motor Neurone Disease diagnosis â¢ The ability to perform the respiratory function testing satisfactorily â¢ Stable clinical and functional state for at least four weeks before testing
9,Diseases of the circulatory system,Other forms of heart disease,Orodispersible Minitablets of Enalapril in Young Children with Heart Failure Due to Congenital Heart Disease,"Enalapril maleate has established medical use in children above 20kg (about 6 years of age) and has been marketed in Europe since 1983. In children below 20kg of weight, enalapril is widely used offÂ¬label on the basis of a few clinical studies. Its safety and efficacy is well understood, especially in the older population and is regarded as gold standard therapy in heart failure. Enalapril is currently available only in the form of tablets in the European Union. Although oral liquids from crushed tablets are commonly used for infants and young children, they are less portable than solids. Also, due to problems when the drug is dissolved, solid oral paediatric dosage forms are needed. Within the LENA project, the new dosage form of so called orodispersible minitablets (ODMTs) will be used as a vehicle for enalapril. ODMTs are small sized tablets (2mm in diameter) which immediately disintegrate in the mouth. Hence, accidental particle inhalation or in the worst case aspiration pneumonia can be prevented. This study will involve children from birth up to 6 years of age, all of whom have heart failure due to congenital heart disease. The children will be seen and treated at the hospital where their routine clinical care already takes place. The participation in the study will last between 3 days and 8 weeks, depending on how many does titrations are needed. The children will attend for a maximum of 11 visits (depending on dose titration) at which physical examinations, ECGs, Echocardiography, blood and urine sampling and continuous blood pressure monitoring will take place.",Diagnosis of heart failure due to Congenital Heart Disease (CHD) requiring after load reduction by drug therapy Weight >2.5kg Subjects may be naÃ¯ve to ACE Inhibitors. Subjects already on ACE Inhibitors willing to switch to enalapril Orodispersible Minitablets.
8,Diseases of the ear and mastoid process,Other disorders of ear,SENSE-Cog care and assessment needs focus group,"Under-treated hearing and vision loss in the elderly costs the EU billions per year. This impact is significantly compounded by the presence of these impairments in people with dementia. Seven in ten Europeans over ten age of 65 suffer either sight or hearing loss. Dementia and cognitive impairment steadily rise over the age of 65 to the point where almost one-third of Europeansâ at the age of 90 are affected. Thus, the overlap amongst sensory and cognitive ill health is substantial and all three impact significantly on each other, resulting in a crucible of 'multi-morbidity'. Despite this, little is known about the needs of this population. We plan to use focus groups or semi-structured interviews, with affected participants, their caregivers and relevant professionals, to gain an idea of the care needs of this population. In the same focus group we would also like to ascertain what assessment needs these groups have. It is hoped that with this information we will be in a better position to develop new methods of supporting people in this population and the information we obtain will be used to develop a draft intervention. We would like to then run a second focus group to obtain feedback on this draft intervention.","Caregiver a) capacity to consent to participate in the study b) provides care for someone with dementia and hearing or vision impairment. c) Aged over 16 years Person with Dementia a) capacity to consent in the study b) has a formal, clinical diagnosis of dementia- either Alzheimer's, vascular or mixed c) Aged 60 years or over d) self-report vision or hearing impairment- this will be verified based on responses to the hearing and vision questionnaires. Professionals: a) capacity to consent b) works in a relevant discipline to dementia, visual or auditory impairment and able to provide expert advise on the population in question"
5,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Evaluating âEnhancing Pragmatic Language skills for Young children with Social communication impairmentâ (E-PLAYS): A feasibility study,"There is a group of children who experience difficulties with communication particularly for social purposes. These impairments have been shown to have detrimental effects on childrenâs social development and mental health, and are associated with rejection and bullying by peers, school exclusion and mental health problems. Few evidence-based interventions targeting social communication difficulties exist. A limited number of computer games have been designed to support collaboration between children with communication difficulties and their peers. However, none have yet been rigorously tested or produced games ready for evaluation on a large-scale. Previously the research team for this project here developed a computer game to support young children with social communication impairments to collaborate âEnhancing Pragmatic LAnguage skills for Young children with Social communication impairmentâ (E-PLAYS). Our pilot studies showed that when E-PLAYS was delivered by research assistants, childrenâs communication and enjoyment of interaction showed significant improvements. We now wish to test the implementation of E-PLAYS in the NHS, delivered by teaching assistants and NHS speech and language therapists working together. We are proposing to undertake a feasibility study to assess whether we could run a future full-scale trial. Children aged 4-7 years-old with communication impairments as identified by speech and language therapists from the North-East London NHS Foundation Trust (NELFT) will take part. They will receive six sessions of E-PLAYS over six weeks, we will test children at baseline and 3 months after they have finished E-PLAYS to see if their communication has improved. The study will last 18 months and is being funded by the National Institute of Health Research (NIHR).","4-7 years-old and attending mainstream school and Selected by speech and language therapists using the Social Communication Behaviour Checklist devised by Adams et al (2012): â¢ The child has trouble understanding and interpreting the social context and friendship, e.g. social roles, emotions â¢ The child has trouble understanding and/or using non-verbal aspects of communication, e.g. facial expression, intonation â¢ The child has trouble with aspects of conversation, e.g. beginning and ending, taking turns, giving relevant and sufficient information â¢ The child makes bizarre, tangential or inappropriate comments â¢ The child has difficulty using and understanding non-literal language (yes/no resposes, child must meet at least two of the criteria)"
6,Diseases of the nervous system,Other disorders of the nervous system,Deep Learning for Identification of Abnormalities on Head MRI,"Unexpected abnormalities with potential clinical relevance (incidental findings) occur in 2.7% of head MRI studies. There is a wide variation in how incidental findings (IFs) discovered in âhealthy volunteersâ are managed. Routine reporting of âhealthy volunteersâ by a radiologist is a challenging logistic and financial burden and in a survey of UK institutions performing research imaging, just 14% of institutions had this as policy. It would be valuable to devise automated strategies to ensure that IFs could be reliably and accurately identified which potentially would remove 90% of scans requiring routine radiological review, thereby increasing the feasibility of implementing a routine reporting strategy. Deep learning is a new technique in computer science that automatically learns hierarchies of relevant features directly from the raw inputs (e.g. MRI) using multilayered neural networks. Previous studies have demonstrated the potential of deep learning methods in the basic interpretation of neuroradiological studies including MRI scans. We will train a deep learning algorithm on a large database of head MRI studies to recognise studies with abnormalities. The Centre for Neuroimaging Sciences (King's College London) has acquired and stored more than 20,000 head MRI studies which are available for research purposes. We will train a deep learning algorithm that classifies a subset of these studies as normal or abnormal. We will then test the technique on an independent subset to determine its validity. Further testing of the algorithm may also be performed (retrospective and prospective) on de-identified clinical Kingâs Health Partners (KHP) datasets (we will collect > 30,000 MRI head scans); and prospective Centre for Neuroimaging Sciences (King's College London) datasets. Hypothesis Convolutional neural networks can provide an appropriate architecture to accurately and reliably categorise head MRI studies into those containing IFs (unexpected abnormalities with potential clinical relevance) and those that do not contain IFs.",Inclusion Criteria 1. All head MRI scans with compatible sequences contained within a database stored at The Centre for Neuroimaging Sciences (King's College London) OR head MRI scans with compatible sequences held on Kingâs Health Partners (KHP) Patient Archiving Communication System (PACS). 2. > 18 years old
8,Diseases of the ear and mastoid process,Other disorders of ear,SENSE-Cog Work Package 3.1 Field Trial Intervention Study: testing the feasibility of a Sensory Support Intervention for people with dementia and sensory impairment,"Under-treated hearing and vision loss in the elderly costs the EU billions per year. The impact is significantly compounded by the presence of these impairments in people with dementia. To date, there have been almost no interventions to support vision and hearing impairment in people with dementia. The aim of the project is to develop, test and refine a newly developed 'sensory support' intervention for people with dementia and concurrent sensory impairment living at home. This will be undertaken using a mixed-methods approach, involving the integration of new information with existing evidence, experience and expertise. There are two areas of investigation: 1. Intervention efficiency and 2. Implementation efficiency (operational / practical / procedural aspects). We will do this by rolling out the intervention with patient and carer dyads and collecting qualitative (participant diaries and semi-structured interviews) and quantitative feedback (battery of scales assessing quality of life, cognition, behaviour, mental well-being, caregiver burden, relationship.) The new intervention will be refined and trialled in a subsequent clinical trial.","Person with dementia: - Age >60 years - Formal Clinical Diagnosis of dementia with MMSE score >18 - Dementia diagnosis for Alzheimer's Disease, Vascular or mixed dementia - Visual and / or hearing impairment - Living at home - Has a suitable Study Partner who meets the inclusion criteria (see below) Impairment Criteria: Hearing symmetrical, mildâtoâmoderate, sloping high frequency sensorineural hearing loss of at least 40 dB at 2â6 kHz (http://www.who.int/pbd/deafness/hearing_impairment_grades/en/). Impairment Criteria: Vision Visual impairment criterion standard will be determined as a score of the best corrected visual acuity of < 0.3 dioptre, visual field of < 300 according to WHO/ICD-10 low vision criteria (http://www.icd10data.com/ICD10CM/Codes/H00-H59/H53-H54/H53-). Study Partner of person with Dementia: - Age >18 years - Knows the person with dementia well enough in a personal capacity to assist with the intervention and inform about progress (either a spouse, significant other, family relation or if not a family relation - someone who visits at least 3 times a week on a regular, consistent basis for example a neighbour, or friend)"
2,Neoplasms,"Malignant neoplasms of ill-defined, secondary and unspecified sites",The young adult cancer patient journey: Experiences from the Royal Marsden Hospital,"What is the problem? In response to research showing that the care needs of adolescents and young adults with cancer are poorly met, there has been a rapid expansion in the availability of dedicated services for teenagers and young adults (TYA; aged 15 to 24 years at diagnosis) in the United Kingdom. However, no age-specific care services are available for young adult cancer patients aged 25 to 39 years at cancer diagnosis, while this patient group also faces age-specific issues that can negatively impact health-related quality of life. The current patient care for young adults with cancer may be compromised by the lack of insight into the young adult cancer patient journey and probably inadequate care infrastructure (e.g. resource availability, lack of expertise). What are our aims? To be able to develop age-specific supportive care services for young adults with cancer, this study aims to provide insight into the young adult cancer care experience, the (unmet) supportive care needs, impact of cancer on young adultsâ lives, and preferences for and expectations of age-specific cancer care. How will we do this? This study has a mixed method design. Semi-structured interviews and focus groups will be conducted with young adult cancer patients, their health care professionals and informal caregivers about the preferences and expectations of age-specific care. A survey will be administered to all alive young adult cancer patients diagnosed with cancer aged 25-39 years in the Royal Marsden Hospital in the past five years. The survey measures care experiences, supportive care needs, health-related quality of life, psychological distress, impact of cancer, illness cognitions and self-management. What can we learn? Results of the studies described above will help to design a tool or service to support young adults with cancer (and their caregivers) in the Royal Marsden Hospital.","Inclusion criteria: Eligible patients are those diagnosed with any type of cancer (ICD-10 codes C00-C97) for the first time between 25 and 39 years of age who can speak and understand English, and being treated or in follow-up at the Royal Marsden Hospital at the beginning of this study. Patients need to be within 5 years after their primary cancer diagnosis."
15,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery,Prediction of Adverse Pregnancy Outcomes Following Induction of Labour,"Induction of labour (IOL) is one of the most common obstetric procedures and is carried out in 20-30% of pregnancies. More than a third of women having IOL will need either an instrumental delivery or a caesarean section. Currently, the Bishop score, based on findings of vaginal examination, is the most commonly used clinical assessment prior to IOL. Unfortunately, it is subjective and unreliable and its utility at predicting successful vaginal delivery is limited. A model that could accurately predict which women will have a successful induction of labour would be of significant benefit in counselling women prior to induction. We propose to develop a model that will accurately predict the time from induction to delivery and the risk of caesarean section using a combination of maternal and fetal factors measured at a pre-induction clinic. The biochemical factors measured will include fetal fibronectin and placental alpha-macroglobulin-1, both markers of preterm delivery that have not been robustly studied in an induction of labour context. We will also systematically measure throughout labour three recently described ultrasound parameters (angle of progression, head-perineum distance, sonographic cervical dilatation) in women undergoing induction in order to assess their utility in predicting operative delivery.",1. Women attending the pre-induction clinic for IOL 2. Singleton pregnancies 3. Cephalic presentation 4. Informed and written consent
4,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,The effects of foot and ankle joint mobilisation combined with a home programme of ankle stretches on joint range of motion and forefoot peak plantar pressures in people with diabetic peripheral neuropathy: a randomised controlled trial.,"Diabetes can affect the blood supply to the nerves in the legs. When this occurs a peripheral neuropathy can occur when the nerves carrying sensory information are affected. People with diabetic peripheral neuropathy have a high risk of foot ulceration and amputation which affects function and associated with high NHS and social care costs. People with diabetes can also have reduced movement at joints caused by increased stiffness in connective tissue. Reductions in ankle and big toe movement leads to increases in the pressure over the sole on the front part of the foot (the forefoot) when walking; this is a risk factor for ulceration. The study will to assess whether ankle and big toe joint mobilisations and home program of stretches in people with diabetic peripheral neuropathy improves joint range of motion and reduces forefoot peak pressures. Fifty eight people with diabetic peripheral neuropathy and a moderate risk of plantar ulceration will be recruited from a local podiatry clinic. They will be randomly assigned to an intervention (29 people) or control group (29 people). We will control for between-group differences in age using a minimization process. The intervention will consist of a 6 week program of ankle and big toe joint mobilisation by a physiotherapist and home stretches. The control group will consist of usual care including podiatry interventions. Outcome measures will be taken at baseline, post intervention and at 3 month follow up by an assessor who does not know the group allocation. Primary outcome will be ankle range while walking with secondary outcomes including big toe joint range, forefoot pressure while walking and balance. Changes over time between the groups will be compared statistically and the relationship between ankle range of motion and peak plantar pressure will be analysed using linear regression.","a)Diagnosis of type I or II diabetes with a moderate risk of foot ulceration as defined by i.Detection in less than < 8/10 sites on the plantar aspect of the foot using a 10 g monofilament ii.Foot deformity defined and graded using a foot deformity score previously developed for people with diabetes b)Peripheral Neuropathy- This is defined according to NICE CG19 guidelines. Here, the ability to detect a 10g monofilament (Owen Mumford âneuropenâ, UK) at 5 sites per foot on the plantar aspect of the toes (1,3 and 5) and metatarsal phalangeal joints (1and 5) is tested. No feeling in less than 8 sites indicates increased risk of foot ulceration c)Ankle joint stiffness: Static, non-weight bearing ankle dorsiflexion will be measured using goniometry (56). Ankle joint stiffness will be defined as 0 or less ankle dorsiflexion (14, 57) due to recent evidence that these patients are more likely to exhibit limited ankle dorsiflexion of < 10 degrees during gait d)Hallux joint stiffness (hallux limitus): Hallux dorsiflexion will be measured using goniometry and will be defined as < 10 degrees of available dorsiflexion at the hallux during weight bearing e)Able to walk for 10 meters with or without using a walking aid f)Able to attend 6 sessions over a 6 week period g)Age > 18 yrs"
2,Neoplasms,Malignant neoplasms of female genital organs,Muscle wAsting in Major Abdominal Surgery (MAMAS II Study),"Following major surgery, the functional capacity of patients is affected. This is due to muscle wasting and weakness. Recovery after surgery can take more than a year especially in frail and elderly patients. We have previously carried out a study (MAMAS study), which showed patients that undergo elective major abdominal surgery for liver/pancreas/gallbladder/bile ducts and women reproductive tract cancer lose 10 % of their muscle size and undergo a similar decrease in muscle strength within a week of surgery. However more frequent measure of muscle size and strength post-surgery is needed to find out the lowest point of muscle loss and weakness and when the recovery starts. In this study we will enrol 24 patients having elective major abdominal surgery for liver/pancreas/gallbladder/bile ducts and women reproductive tract cancer. We will measure breathing and thigh muscle size using ultrasound scan and carry out hand grip strength and sniff test (to assess breathing muscle strength) before the surgery, day 1 post-surgery, and thereafter on alternate days until hospital discharge and at 6 weeks after the discharge. In addition, we will also carry out simple physical function tests and questionnaires before and 6 weeks after surgery. Small amount (~45 mg) of abdominal muscle biopsy tissue will be collected during the surgery (optional) and bloods sample at four time points (pre-op, day 1 post-surgery, day 7 post-surgery/hospital discharge and 6 weeks after discharge) during the study participation. The outcome of this study will allow to design future interventional studies to reduce the muscle loss and weakness post-surgery. This could lead to improve recovery rate following major abdominal surgery, shorter stay in hospital and fewer post-operative complications and readmission.",1. Age > = 18 years 2. Patients presenting for elective major abdominal surgery for cancer (hepato pancreatico-biliary and gynae-oncology surgery) with predicted duration of surgery of > = 3 hours. 3. Provide informed consent
1,Certain infectious and parasitic diseases,Other bacterial diseases,External pilot study to inform the design and conduct of the Fluids in Shock (FiSh) Trial,"Children are now much more likely to survive a severe infection than ever before. This progress comes from a whole package of treatments including antibiotics, multiple rapid doses (boluses) of fluid (e.g. saline solution) into a childâs veins (âfluid bolus therapyâ) and support for breathing and heart function. We hope to improve the outcome of children with severe infection by refining one part of this package: by exploring what is the best amount of fluid to give in the earliest stages of treatment. We are designing a clinical trial (called Fluids in Shock â FiSh) to find out whether giving less fluid per bolus to children with symptoms of a severe infection (septic shock) is better than giving a higher amount of fluid, as currently recommended. We are conducting a pilot trial, a smaller version of the trial we would like to run. We will recruit 108 children admitted with septic shock to emergency departments in 14 NHS hospitals over nine months. Patients will be randomly allocated to receive either fluid boluses of 10 ml/kg (intervention) or 20 ml/kg (usual care) every 15 minutes for up to four hours. We would also like to ask parents/legal representatives who do and do not give consent to the study their views on the consenting process. Questionnaires (100-150) and telephone interviews (15-25) will be used to explore the parents/legal representativesâ acceptability of the study, including the approach to recruitment, consenting procedures and participant information materials. We will also hold three focus groups with the hospital research teams to explore their experiences of screening, recruiting, randomising and consenting parents/legal representatives to the pilot trial. By doing this study, we hope to find out whether the trial is possible and, if so, how it should be done.","Pilot RCT â¢ Age greater than or equal to 37 weeks (corrected gestational age) and less than 16 years â¢ Clinical suspicion of infection â¢ Clinical signs of shock after receipt of 20 ml/kg of bolus fluid â¢ Recruitment and randomisation to take place while child is in an acute assessment area (e.g. ED, paediatric assessment unit (PAU)) Parent/Legal representative questionnaires and interviews â¢ Parents/Legal representatives who do and do not consent to the pilot RCT Site research staff focus groups and interviews â¢ Site research staff who are involved in screening, recruiting, randomising and consenting parents/legal representatives during the pilot RCT"
14,Diseases of the genitourinary system,Renal failure,What factors explain the association between socioeconomic deprivation and a reduced likelihood of living-donor kidney transplantation? A questionnaire based case-control study.,"A living-donor kidney transplant (LDKT) describes a kidney transplant in which a kidney is donated by a living friend or family member and transplanted into someone with kidney failure. A LDKT is the best treatment for most people with kidney failure. Socioeconomically deprived people in the UK are more likely to develop kidney failure, but less likely to receive a LDKT. This study aims to investigate whether socioeconomic position is related to a kidney patientâs i) transplant knowledge and beliefs, ii) level of involvement in managing their own healthcare, and iii) support and offers of donation from friends and family. The study will determine whether these potentially modifiable factors explain why more deprived patients are less likely to receive a LDKT, and identify targets for intervention.",We aim to collect responses from approximately 930 living-donor kidney transplant (LDKT) recipients (cases) and 930 deceased-donor kidney transplant (DDKT) recipients (controls) from all adults (age> 18) transplanted at the ten UK study sites between 1/4/2013 and 31/3/17.
1,Certain infectious and parasitic diseases,Viral hepatitis,"A phase IIIb, open-label, multicentre, international randomised controlled trial of simplified treatment monitoring for 8 weeks glecaprevir (300mg)/pibrentasvir (120mg) in chronic HCV treatment naÃ¯ve patients without cirrhosis","The combination of glecaprevir (300mg)/pibrentasvir (120mg), a protease inhibitor and NS5A inhibitor, developed to treat patients infected with the Hepatitis C virus (HCV), has been tested in large volume clinical trials. Participants infected with HCV, without liver cirrhosis (when normal liver tissue is damaged and replaced by scar tissue), received 8 weeks of the combination drug. The treatment was shown to be safe and effective, curing almost 99% of people infected with HCV without cirrhosis regardless of their HCV strain (genotype). There was no need for ribavirin, which is an antiviral drug with serious side effects that is given in combination with other drugs used to treat HCV. Glecaprevir (300mg)/pibrentasvir (120mg) had no specific toxicity or side effects of treatment. Due to this factor, and because no ribavirin is required, there is no need for monitoring of full blood count or liver function. The combination can be safely administered without regular monitoring of blood levels; as is the standard of care treatment for drugs used to treat HCV currently. The aim of this study is to determine if on-treatment monitoring can be simplified for chronic HCV patients without cirrhosis receiving glecaprevir (300mg)/pibrentasvir (120mg) for 8 weeks. One post treatment visit will be conducted 12 weeks after the final dose of study medication to evaluate the proportion of patients with undetectable HCV RNA at this timepoint (SVR12).","1) Have voluntarily signed the informed consent form. 2) 18 years of age or older. 3) Chronic HCV infection as defined by anti-HCV antibody or HCV RNA detection for greater than 6 months. 4) HCV RNA plasma > = 10,000 IU/ml at screening. 5) HCV genotype 1-6. 6) HCV treatment naÃ¯ve (no prior treatment with an approved or investigation anti-HCV medication). 7) Stage F0-3, based on: hepatic elastography < 12.5 kPa on FibroscanÂ® or APRI < 1.0. 8) If co-infection with HIV is documented, the subject must meet the following criteria: - ART naÃ¯ve with CD4 T cell count > 500 cells/mm3; OR - On a stable ART regimen for > 8 weeks prior to screening visit, with CD4 T cell count > 200 cells/mm3 and a plasma HIV RNA level below the limit of detection. 9) Negative pregnancy test at screening and baseline (females of childbearing potential only). 10) All fertile females must be using effective contraception during treatment and during the 30 days after treatment end."
11,Diseases of the digestive system,Other diseases of the digestive system,"Proton Pump Inhibitors vs. Histamine-2 Receptor Blockers for Ulcer Prophylaxis Therapy in the Intensive Care Unit (PEPTIC) study: A cluster randomised, crossover, registry-embedded clinical trial of proton pump inhibitors vs. histamine-2 receptor blockers for ulcer prophylaxis therapy in the Intensive Care Unit","Patients who require treatment in the Intensive Care Unit (ICU) can develop stomach ulcers or duodenal (small intestine) ulcers, these kinds of ulcers are known as âstress ulcers âand may cause life threatening bleeding; this occurs most commonly when mechanical ventilation (a breathing machine) is required. To prevent this, mechanically-ventilated patients in the ICU are frequently given stress ulcer prophylaxis (SUP) in the form of one of two types of medicine: proton pump inhibitors (PPIs) or histamine-2 receptor blockers (H2RBs). Despite SUP being administered to millions of ICU patients worldwide, it is unclear where PPIs or H2RBs are preferable and current usage is dependent on clinician preference or unit policy rather than empirical evidence. The PEPTIC study will compare the two approaches to SUP treatment regimens to determine which leads to the best outcomes for patients. The study is being conducted in New Zealand, Australia, Ireland and England. Data will be collected on patients admitted to ICUs requiring mechanical ventilation where SUP is considered clinically appropriate. Data required for the study is already routinely recorded in ICUs â in England, this will be collected through the ICNARC Case Mix Programme (CMP).",- Aged 18 years and above - Admitted to a participating ICU - Invasively mechanically ventilated within the first 24 hours of a ICU admission
6,Diseases of the nervous system,"Nerve, nerve root and plexus disorders","Clinical and Cost-effectiveness of Posterior Cervical Foraminotomy versus Anterior Cervical Discectomy in the Treatment of Cervical Brachialgia: A Multicentre, Phase III, Randomised Controlled Trial (FORVAD Trial)","FORVAD is a Phase III, randomised trial in patients with unilateral cervical brachialgia (arm pain affecting just one limb) that has been caused by neve compression in the neck. The trial population are those who have had symptoms for at least six weeks despite conservative management such as physiotherapy and pain relief. A total of 252 participants will be recruited, and randomised to receive one of two types of operation. One type of operation is posterior cervical foraminotomy (PCF), which involves operating through the back of the neck. The other type of operation is anterior cervical discectomy (ACD), which involves operating through the front of the neck. Both of these operations are currently standard treatments for this condition. Potential participants will be identified in neurological centres in the UK following referral from their GP, they will be given a Patient Information Sheet and then informed consent will be taken if they would like to take part. Participants will then be registered to the study, and have assessments performed. Participants will complete questionnaires, then be randomised to a treatment arm on the day of their operation. The day after surgery, and at 6 weeks post-surgery, assessments will be performed on the participants. On day 1, and weeks 6, 12, 26, 39 and 52 after surgery, participants will complete questionnaires. 25% of participants will also have a voice recording taken to assess if their voice is affected by the operation, before surgery and 6 weeks after surgery.","1) Aged > = 18 years old 2) Diagnosis of unilateral cervical brachialgia as confirmed by MRI or CT myelogram taken within the last 12 months 3) Symptoms of cervical brachialgia present for at least 6 weeks 4) Single level nerve entrapment 5) Postero-lateral disc and/or foraminal narrowing 6) Failed conservative management (including but not limited to; medication, physiotherapy, modification of daily activities) 7) Able and willing to comply with the terms of the protocol, including QoL questionnaires 8) Able to provide written informed consent"
