ICD Block Names,Title,Research Summary,Inclusion Criteria
Acute upper respiratory infections,Analysis of bacterial carriage and antibiotic resistance rates in the upper respiratory tract. (Solent SMART pilot study),"Upper respiratory tract infections such as otitis media (middle ear infection), sinusitis (inflammation of the nasal sinus) and pneumonia account for considerable morbidity. Such infections can lead to meningitis (inflammation of the membranes lining the skull), sepsis (blood infection) and even death, particularly in young children and the elderly. The nasopharynx is thought to be the main source of invasive bacterial infection caused by bacteria such as S. pneumoniae, H. influenzae, S. aureus and M. catarrhalis. Antibiotic resistance is a growing health crisis. Approximately 25,000 people die every year in Europe because of infections related to antibiotic resistance. The cost associated with these bacterial infections, in hospital costs and productivity losses alone, exceeded Â£1 billion each year in Europe.     The aim of the study is to sample bacteria from the upper respiratory tract (URT), in order to determine community carriage levels of common respiratory pathogens and the prevalence of antibiotic resistance. Antibiotic disc diffusion tests will be used to analyse the antibiotic resistance of bacteria to commonly prescribed antibiotics.     Individuals of all ages, attending any participating sites working in partnership with the Solent NHS Trust, will be approached on the day of their visit by a member of the research team. Potential participants will be given an information sheet and time to read it and ask any questions before they are asked to complete a consent form and questionnaire. Participants will then have swabs taken from their nasopharynx (back of the nose) and oropharynx (back of the throat) and will be asked to have a further optional nasal swab. Swabs will be taken by a member of the research team who have undertaken relevant training.     All swabs will be analysed in the laboratory using traditional diagnostic microbiology techniques. Bacterial isolates will be stored in microbial storage and tested for antimicrobial resistance using disc diffusion methods.","Any individual of any age who is willing to participate and able to give informed consent or whose parent/guardian is willing to give consent on their behalf. It is the responsibility of the clinical staff or member of the research team to assess if the potential participants, or the parent/guardian, have understood what is going to happen and are capable of giving informed consent. If the clinical staff or member of the research staff feel this is not the case then they can decide not to include the potential participant in the study. All staff have been fully trained in recruitment and informed consent."
Acute upper respiratory infections,Pragmatic randomised controlled trial of molecular point-of-care testing for respiratory viruses versus routine clinical care in adults with severe acute respiratory illness: a pilot study (SARIPOC),"Acute respiratory tract infections are responsible for over 4 million deaths each year and are the third most common cause of death worldwide. Respiratory viruses are the most common detectable pathogen in adults with acute respiratory infection.    Influenza and other respiratory virus infections often remain undiagnosed in patients admitted to critical care due to lack of systematic testing. Even when testing occurs, treatment is often delayed because of slow turnaround times of laboratory methods.    Treatment for influenza in hospitalised adults with neuraminidase inhibitors (e.g. Tamiflu / oseltamivir) is recommended by national guidelines. Prompt treatment with neuraminidase inhibitors reduces the risk of death.    Point-of-care tests (POCT) for respiratory viruses, with antigen detection-based assays, have been limited in clinical practice by unacceptably low sensitivities and by an inadequate range of detectable viruses. Newer molecular systems, such as the FilmArray Respiratory Panel have comparable sensitivity to laboratory tests, detect a wide range of viruses, and can generate a result in about an hour, making them deployable as POCTs.    We propose a single-centre, pilot, randomised controlled trial in adults with acute severe respiratory illness admitted to critical care (respiratory high dependency unit and intensive care units) at University Hospital Southampton NHS Foundation Trust. 300 patients over three years will be recruited and randomised (1:1) to receive either the intervention of a nose and throat swab, immediately tested on the FilmArray Respiratory Panel, or standard clinical care alone. Those allocated to standard clinical care will have a swab taken for later analysis to allow assessment of missed diagnoses. The outcomes assessment will be by retrospective case note analysis. The outcome measures include the proportion of influenza-positive patients appropriately treated with neuraminidase inhibitors, antibiotic use, isolation facility use, length of stay in critical care and length of stay in hospital.","- Admitted to the Respiratory High Dependency Unit (RHDU), or an Intensive Care Unit (ICU), or about to be transferred to either RHDU or ICU, or under the care of the RHDU or ICU team in another hospital area, within University Hospital Southampton NHS Foundation Trust (UHS)    - Aged > = 18 years old    - Duration of respiratory illness less than 10 days prior to hospitalisation      - Presented to hospital less than 72 hours prior to enrolment    - Has a severe acute respiratory illness*    *An episode of severe acute respiratory illness is defined as an acute pulmonary illness (including pneumonia, bronchitis and influenza-like illness) or an acute exacerbation of a chronic respiratory illness (including exacerbation of COPD, asthma or bronchiectasis), requiring high dependency or intensive care. For the study, a severe acute respiratory illness as a provisional, working, differential or confirmed diagnosis must be made by a treating clinician."
Acute upper respiratory infections,REspiratory Syncytial virus Consortium in EUrope (RESCEU) study: Defining the burden of Respiratory Syncytial Virus (RSV) disease.,"Respiratory syncytial virus (RSV) causes severe respiratory disease in babies, the elderly and high-risk groups.  In 2005 itâs estimated that RSV was associated with 3.4 million acute respiratory tract infection (ARTI) hospitalisations and between 55,000 - 199,000 deaths in children under 5 years worldwide, most in developing countries.  In the UK up to 1 in 25 of all children born each year are hospitalised due to RSV infection. Knowing the healthcare and societal costs associated with RSV infection are essential to decide which future treatments and preventatives to use.  This study will determine the burden of RSV disease in at least 2000 healthy infants, to be recruited into one of two cohorts:   1. Passive (at least 1800): Demographic data will be collected at inclusion and a parental questionnaire at one year of age.  Babies admitted to a hospital for an ARTI will be followed up to the age of 3 years.  2.  Active (at least 200): At inclusion demographic data and the following samples will be taken; blood, a swab from the back of the nose, stool and urine samples from the nappy.  During the RSV season (Oct to March) in first year of life, parents will be contacted weekly to monitor respiratory symptoms. If the infant has an ARTI they will be visited to test (by a nose swab) if the illness is due to RSV.  If positive, samples as above will be taken and repeated 7 weeks later.  There will be ongoing weekly contact enquiring of further ARTIs.  Visits to determine if any respiratory illness is due to RSV continue throughout infantsâ first RSV season.  Participants are followed annually by questionnaire.  Data collected in this study and similar studies in sites across Europe will be combined to provide data on 10,000 healthy infants.","- Healthy* children, gestation age at least 37+0 weeks, born at participating centres.   - Written informed consent obtained from mothers.  - Parents able and willing to adhere to protocol-specified procedures (active cohort)."
Acute upper respiratory infections,Biomarker-guided duration of Antibiotic Treatment in Children Hospitalised with confirmed or suspected bacterial infection (The BATCH trial),"Sepsis defined as the bodyâs response to infection, and is often indistinguishable from the response to other insults like burns or surgery. Giving antibiotics promptly saves lives, but giving antibiotics to people who donât need them, leads to overuse of antibiotics and antimicrobial resistance (AMR). Department of Health recommends that antibiotics should be given for as short a course as is safe, to prevent AMR.    Most hospitals in the NHS use a C-Reactive Protein (CRP) blood test to monitor response to infection, but it is not specific for bacterial infection and shows a delayed response to infection. Procalcitonin is a blood test which is specific for bacterial infection and responds more quickly than CRP, but is not routinely used in the NHS. Studies done mainly in adults shows that using procalcitonin to guide clinicians may reduce the amount of antibiotics used, reduce hospital stay, and is not associated with adverse effects such as hospital re-admission, incomplete treatment of infections, relapse or death.     BATCH aims to assess the use of an additional PCT test in children (aged < 18 years) hospitalised with suspected or confirmed bacterial infection to guide antimicrobial prescribing decisions. Children will be recruited from Paediatric wards or Paediatric Intensive Care Units (PICUs).    In children randomised to the intervention arm, a PCT test will be performed in the hospital laboratory at baseline, Day 3-5, Day 6-14 and Day 28 (if still on IV antibiotics)(aligned with normal clinical workflow and routine laboratory testing). Children in the control arm will not have a PCT test performed.     Outcome data will be recorded daily by the Research Nurse (up to and including day 28, or until discharge). Day 28 follow up will be conducted with parents via telephone/email.     The study comprises an internal pilot with 6 lead sites. Additional sites will be added as required. The study will last for 3 years.","All children up to 18 years old admitted to hospital for confirmed or suspected severe bacterial infection (SBI), in whom IV antibiotics are commenced, and expected to remain on IV antibiotics for at least 48 hours.     Conditions include: bacteraemia, central line-associated bloodstream infections (CLABSIs), bone and joint infections, discitis, empyema, pneumonia, pyelonephritis, sinusitis, retropharyngeal abscess, pyomyositis, uncomplicated culture-negative meningitis, intra-abdominal infections, lymphadenitis, cellulitis.    First time in BATCH trial."
Acute upper respiratory infections,"A multicentre prospective, observational, longitudinal cohort study in adult patients with suspected Upper or Lower Respiratory infection (URTI/LRTI) to identify a spectrum of biomarkers in exhaled breath to discriminate participants with bacterial RTI from participants without.","This multicentre prospective, observational, longitudinal cohort study aims to obtain chemical information of exhaled breath biomarker data from adult patients with suspected Upper and Lower Respiratory pathologies (URTI/LRTI) to support clinical decision making regarding the diagnosis and treatment of suspected RTI.  Patients with suspected RTI who consent to participate in the study will be asked to provide one complete breath sample directly into each of two different BreathspecÂ® instruments by exhaling into a disposable mouthpiece for 3-5 seconds. Subjects will be asked to swill their mouth with water immediately before taking the test.  An ambient air sample will be collected after each breath sample. Analysis of a sample (breath or ambient air) will take less than 10 minutes. The participant does not need to be present for this analysis.  The results of the gas phase chemical analysis will be stored in the internal memory of each device for subsequent downloading and analysis.   Patients will be assessed and treated at the study sites as per best practice for the diagnosis and treatment of RTIs.",Male and female subjects aged 18 and above will be eligible for inclusion in this study if all the following criteria apply:  - Present with symptoms indicative of a suspected RTI   - Willing and competent to provide informed written consent
Acute upper respiratory infections,A clinical effectiveness investigation of a multi-faceted intervention (incorporating a prognostic algorithm) to improve management of antibiotics for CHIldren presenting to primary care with acute COugh and respiratory tract infection (CHICO): an efficient cluster RCT informed by a feasibility RCT,"TITLE: A clinical effectiveness investigation of a clinician decision aid to improve management of antibiotics for children (aged 0-9 years) presenting to GP practices with a cough/respiratory tract infections (RTIs)    BACKGROUND: Coughs and colds (RTIs)  are the most common reason that children visit GP surgeries.  Clinicians (doctors and nurses) are not always sure how best to treat them and often use antibiotics âjust in caseâ.  There are concerns that clinicians use antibiotics too often and that this is increasing the number of resistant bugs (bacteria that are not killed by antibiotics).     From a 5 year programme of NIHR funded work, the research team have developed an intervention that helps clinicians to know which children are very unlikely to benefit from an antibiotic.     The intervention includes a decision aid which lets the clinician know if a child is likely to get well without antibiotics (the tool provides information, but the clinician still makes the final decision on the treatment received, based on what they believe is in the childâs best interests). Clinicians will listen to parentsâ concerns and giving them a personalised leaflet with care and safety advice.    AIM: The main aim of the study is to see if our intervention is effective, safe and easy to use.      THE STUDY: 310 GP practices will take part in the study for 12-months.  Half of the practices will use the intervention and half will continue with their usual care.  Data collected will be used to work out if antibiotic dispensing levels are different between the practices using the intervention compared to those that do not. We are also interested in whether the hospitalisation rates remain the same in both groups of practices.     Data will be collected on children aged 0-9 years old     The study is being run by researchers at the University of Bristol.  Funding: HTA NIHR","This trial is conducted at the GP practice level, with practices being randomised to using the intervention or standard care.      Practices included in the trial will be those using the EMISWeb medical record management computer software to house the intervention (53% of English practices use this system).      The research team are also proposing a scoping exercise in the first few months of the study to look at the potential barriers of embedding our intervention in different practice systems. Potentially the research team may recruit practices with systems other than EMIS or at least report on the difficulties that need to be overcome if the intervention is rolled out.    Within practices, the patient-group of interest are children aged 0-9 years, that present with an RTI during the data collection period.  The research team will be collecting anonymised data on individuals and this will be gathered using current NHS routine systems."
Acute upper respiratory infections,To optimise the SNIFS instruction materials to ensure that they are engaging and acceptable for patients with recurrent sinusitis.,"Acute sinusitis is one of the commonest infections managed in primary care.  Saline nasal irrigation involves rinsing the sinuses through the nose with saline (salt) solution. A large study in people with chronic sinusitis showed that most people can do nasal irrigation with simple advice, find it acceptable and will keep doing it over weeks. However, nasal irrigation could be made even more effective by dealing with key problems some people have.     The SNIFS instructions will help patients to use saline nasal irrigation to improve their quality of life with recurrent sinusitis. Paper version and DVD-based versions of the SNIFS materials have already been tested in a large study in 72 GP practices, with patients who used saline irrigation reporting reduced symptoms and being less likely to go to the doctor.     This study will update these paper and DVD instructions to be accessible online. We will ask 10-15 patients with recurrent sinusitis (from 4 local GP practices) to try the materials, and suggest ways that they can be improved. We will ensure that the participants we ask to take part are diverse in order to accurately reflect likely patients.     Participants in this study will appraise the materials however we will not be asking them to engage in the intervention (i.e. conduct saline irrigation). After each patient has used the materials, we will address any points that they have raised, and ask the next patient to review the updated website. When participants no longer suggest any issues that need to be addressed, we will consider the materials to be âoptimisedâ.    The effectiveness of these materials will later be tested in a planned trial (for which we will submit a further ethics application once we have developed these new materials).",â¢ Over age 18  â¢ Fluent English speaking  â¢ Attending primary care with recurrent sinusitis  â¢      Able to provide informed consent
Acute upper respiratory infections,The RAPID-TEST study: Novel upper respiratory tract microbiological point-of-care diagnostics in people presenting to primary care with acute respiratory tract infection: a quantitative and qualitative feasibility study,"Every year, millions of people visit general practitioners (GPs) with coughs, colds, and throat, ear and chest infections. GPs give antibiotics to lots of people they see with these infections, to try to stop them getting sicker, but antibiotics only help a small number of people. The problem is knowing who these people are.    Unfortunately, using lots of antibiotics eventually makes antibiotics stop working. So, it is important antibiotics are only used where we are sure they will work.     Respiratory infections are caused by germs infecting the airways. Antibiotics only work if infections are caused by a type of germ called bacteria, but most infections are caused by other germs called viruses. It would help if GPs could tell which infections are caused by bacteria.    Machines are being developed which could help GPs. These âpoint-of-careâ tests use samples of mucous and saliva from the nose and back of the throat and give results quickly, allowing GPs to see if viruses and/or bacteria are present.     This study will involve GP practices being given one such machine, called 'FilmArray' for two months. 'FilmArray' has been developed, validated and CE marked for the purpose of detecting respiratory germs by an established company called Biomerieux (see www.biomerieux.com). We will ask GPs and nurses looking after patients with respiratory infections to invite them to take part, and see if using the test changes treatment, how it the test fits into the flow of appointments, and what other information they need to use them. This study is necessary because these tests have never been used by GPs before.    Results from this feasibility study will help us design a large GP study of point-of-care tests for respiratory infections, which will tell us if these new tests could help the NHS safely reduce antibiotic use.","Inclusion criteria for patient participants are:    â¢ Adults and children aged > = 3 months being assessed (face-to-face) for symptoms of acute (< = 28 days) respiratory tract infection as identified by the recruiting clinician (GPs and nurses), including sore throat/pharyngitis/laryngitis, acute middle ear infections (acute otitis media), acute cough/chest/lower respiratory tract infections, and infective exacerbation of asthma/ chronic obstructive pulmonary disease (COPD)    â¢ Clinician wishes to use the point-of-care test    Inclusion criterion for primary care staff participants in qualitative evaluation is:    â¢ Primary care staff who has some involvement in using point-of-care test"
Acute upper respiratory infections,Saline Nasal Irrigation For acute Sinusitis II RCT,"Acute sinus infections are one of the commonest infections managed in primary care, Currently GPs prescribe antibiotics to most  patients presenting with sinusitis, the highest of any of the common acute infections presenting in adults, at over 90%.The trouble with prescribing for most people is that we are using antibiotics too much which is causing the bacteria to become resistant, which is likely to lead in the future to  serious infections  becoming untreatable from âsuperbugsâ. Alternatives to the initial management with antibiotics are needed.  Previous studies have tried nasal irrigation using salt solution for colds but the studies are small and not conclusive. There have also been studies of nasal irrigation in chronic sinus  infections which do show some benefit. A large study in chronic or recurrent sinusitis in primary care showed that most people can learn to do nasal irrigation with simple advice and a short video to show how it is done, find it acceptable and will keep doing it over several weeks. However, there was some evidence that the approach to help people use nasal irrigation could be made more effective, dealing with key barriers or difficulties more effectively. There have been no good studies of saline irrigation in acute sinusitis.  The first part of the proposed study over a few months and will optimise the intervention, by working with patients on a 1:1 basis. This will make sure we are providing all the necessary advice and materials to help engage patients and to deal with any issues or problems they might have.  The study will then randomise more than 100 people with acute sinus infections presenting in primary care to either a) immediate antibiotics (current usual treatment in primary care) or b) advice to do nasal irrigation for up to 3 weeks with a âback-upâ or delayed antibiotic prescription (a prescription that can be used if the sinusitis does not settle). Participants will fill out a daily symptom diary which will allow us to see whether irrigation makes any difference to symptom severity, or to the duration of illness,and whether antibiotic were used.   Participants who are happy to have further tests will have a swab of the nose.   This study will provide evidence of recruitment and follow-up rates, and is also likely to provide  preliminary evidence about whether antibiotic use is likely to be reduced, in order to provide sufficient evidence for a larger application for a full trial.","We will pragmatically define acute sinusitis as having sinus discomfort, and at least 2 other symptoms (2 of: patient reported nasal obstruction, patient reported purulent nasal discharge, or pus seen in the nasal cavity on inspection by the clinician). We do not propose using prior duration (e.g. the requirement for at least 7 days without improvement in the Canadian guidelines) since there is no good evidence for a particular cut-off, and our aim is to help people who are currently being treatment with antibiotics for sinusitis, many of whom present with 7 days."
Acute upper respiratory infections,"A double blind, randomised, placebo controlled, feasibility trial evaluating the possibility of delivering Andrographis paniculata  (Immunographis) as a treatment of adults with Acute Respiratory Tract Infections (ARTIs)","Acute respiratory infections (such as cough, sore throat and sinusitis) are common and therefore distressing and costly both for individuals and the NHS. Antibiotics have limited benefits and have side effects.    A herbal medicine called Andrographis Paniculata is a promising candidate to treat acute respiratory tract infections.  In a systematic review of randomised controlled trials Andrographis performed better than placebo after 5 days  We propose to evaluate the feasibility of using Andrographis capsules in adults who visit their GP with an acute respiratory tract infection symptom and where the GP thinks the symptoms are caused by an infection  (bacterial or viral) but NOT pneumonia. The doctor will be able to prescribe antibiotics if needed either taken immediately or delayed for a few days.","Patients will eligible for the trial if they are over 18 years of age and present to their GP with a potential ARTI. Adults 18 years and over presenting with an acute cough (< = 28 days' duration) as their main symptom and with symptoms localising to the upper respiratory tract (e.g. sore throat,headache,runny nose, muscle ache), for which non-infective diagnoses are judged very unlikely."
Acute upper respiratory infections,Regulation of Immunoglobulin class switching,"We wish to investigate how B cells regulate the process of immunoglobulin class switching in order to produce the appropriate type of antibody required to neutralise the particular infection they face.    All the experiments planned in this study will be carried out on B cells isolated from the tonsils and adenoids of patients (adults and children) undergoing routine tonsillectomies and adenoidectomies at Guyâs and St. Thomas NHS Foundation trust. Patients (and/or their legal guardians) will be approached by a member of the research team following admittance to the ward for surgery. Patients (and their legal guardians) will be given a copy of an information sheet to read, describing the purpose of our research and what will happen to them should they take part in the study, and asked to give their consent to be included. The researcher will be available at this time to answer any questions that may arise.    If consent is given the patients will be asked to fill out a short questionnaire (no more than 5 minutes). The answers to these questions will allow us to determine whether the participant falls into our ânormalâ or asthmatic/allergic group, ensure that they donât suffer from any other immune system diseases, they havenât got any long standing illness and they donât take any medicine that may affect the way in which their B cells respond in our experiments. This will end the participantâs involvement in this project: They will not be approached for any further questions or asked to give any other samples. Inclusion in this project will not affect the way in which the tonsillectomy surgery is performed or their treatment afterwards.     Following normal removal of the tonsils (and adenoids, if collected), our researchers will collect the discarded tissue and isolate the B cells from it for use in subsequent experiments. B cells will be isolated by density gradient centrifugation, following maceration of the tonsil. B cells will then be isolated by FACS sorting. The B cells will be treated with either IL-4, IFN-ï§ or TGF-ï¢ in conjunction with reagents to mimic CD40 signalling to stimulate them to undergo class switching to the different antibody isotypes. At various time points cells will be collected and analysed as described below. No tissue or cells will be stored following this procedure, however, DNA or proteins from the cells may be stored for use in subsequent experiments. All retained DNA/proteins will be stored in freezers (monitored with alarms) located in the Dept. of Respiratory medicine and Allergy. All stored material will be anonymised according to best current practices.",â¢ Age 1-65 years undergoing routine tonsillectomy surgery for chronic tonsillitis or Sleep Apnoea.   â¢ Written informed consent obtained before entering the study  â¢ Absence of acute infection at time or surgery
Acute upper respiratory infections,The SIMPLIFI (Single use Isothermal aMPLIfication testing for Flu Illnesses) Study.  Evaluation of a single use point of care device for the diagnosis of influenza and other respiratory pathogens in clinical upper airway samples using isothermal amplification - a feasibility study.,"This is a prospective single centre feasibility study in the accident and emergency (A+E) department of Imperial College Healthcare NHS Trust (ICHNT) in patients presenting with influenza like illness (ILI).    The primary objective is to assess the feasibility of this single use device for the diagnosis of influenza and other respiratory pathogens in upper airway samples at the point of care (POC) in a real-life setting and compare the results against the conventional laboratory diagnostic methods of Polymerase Chain Reaction (PCR) testing.  Further objectives are to compare the results to the analytical study data and laboratory test on stored samples as well as develop a bank of samples for further testing of the device in laboratory conditions.     One nasal swab to be taken per patient recruited in addition to the swab(s) (nasal, nasopharyngeal or throat swab) taken for standard care.  Routine sample(s) (A) to be processed for standard PCR testing in the laboratory and/or rapid flu testing (Cepheid, Sunnyvale, CA, USA) as per standard clinical work flow.  Second sample (B) to be taken for evaluation under the study and either: (i) transferred to the new device buffer tube and promptly tested in a test device or (ii) if no device is available for prompt testing, add the swab to a viral storage/transport buffer tube as per standard procedures and freeze for long-term storage and later testing.      As this is a feasibility study, diagnostic standard of care tests should be performed as per the clinical pathway with routine sample(s) (A) and the results of the test devices should not affect clinical decisions and should not be disclosed to either the patient or the clinician.","Any adult > = 18 years of age presenting to the A+E department with ILI or a febrile illness associated with symptoms such as cough, sore throat or rhinorrhoea, and for whom a respiratory viral screen is clinically indicated and who is:  - Able to provide written informed consent, or written informed assent by a relative or carer   - Recruited during initial medical assessment  - Able to comply with the study protocol"
Acute upper respiratory infections,Coronavirus infection in primary or secondary immunosuppressed children,"This study is designed to allow families of immunosuppressed children and young people to self-record their experiences of COVID-19 and other viral respiratory illnesses during the COVID-19 epidemic. Parents of immunosuppressed patients and young people aged 16-17 yrs who are immunosuppressed will be provided with online information and asked to fill in online questionnaires at baseline and weekly thereafter. Information collected will include immune-system affecting medication, symptoms, contact with health care providers, test results and impact on daily activities. Data will be collected and analysed weekly to be able to monitor any potential risk factors for severe disease.  This study is complementary to, and not overlapping with, the global ISARIC World Health Organisation protocol that will be studying COVID-19 cases admitted to all NHS Trusts, including all children.",- Parent of immunosuppressed patient aged < 16 years or immunosuppressed patient aged 16-17 years   - Family able to complete the questionnaire which will be in English (due to current resources available translation will not be possible)  - Reliable access to the internet
Acute upper respiratory infections,Platform randomised controlled trial of point of care diagnostics for enhancing the quality of antibiotic prescribing for community acquired acute respiratory tract infection in ambulatory care in Europe,"The discovery of antibiotics was a major breakthrough in medical science. Antibiotics are used to treat illness caused by bacteria. Development of these medicines meant that illnesses, like pneumonia, which were once often fatal, could be successfully treated, saving millions of lives. But their effectiveness has decreased because they are misused. Highly resistant âsuperbugsâ have appeared against which we have no effective treatment. The development of antibiotic resistance is now a major public health concern worldwide.   Bacteria that are exposed to insufficient antibiotic can change and become resistant to their killing effects. Another cause of resistance is when antibiotics are prescribed when there is no evidence to prove which micro-organism is causing a patientâs symptoms. Clinical studies have shown that confirming a patient is more likely to be infected with a bacterium (or not) before prescribing an antibiotic by using a point-of-care test in a doctorâs surgery could help improve the quality of patient care and aid recovery. This is especially true for community-acquired acute respiratory tract infections (CA-ARTI), the commonest reasons for consulting health services in the community and for antibiotic use.  The aim of PRUDENCE is to determine if there is added value provided by having a CA-ARTI diagnostic (CA-ARTI-Dx) test done in the surgery to give a quick result. Then the result is available when a clinician is considering, or plans to prescribe an antibiotic, which could lead to more appropriate prescribing decisions, without causing harm to patients.    The study will be a pragmatic, platform, randomised controlled trial of point-of-care diagnostics, evaluated over two seasons of increased community acquired acute respiratory tract infections, in up to 10 European countries starting in January 2021.","â¢ Male or Female, aged 1 year or above  â¢ Consulting with symptoms of lower respiratory tract infection where cough is the predominant symptom (< 28 days); or, symptoms of an upper respiratory tract infection (< 14 days) where sore throat is the dominant symptom; and where the clinician is considering/has decided to prescribe an antibiotic  â¢ Is able and willing to comply with all trial requirements  â¢ Participant or legal guardian(s) of a child is willing and able to give informed consent according to national regulations"
Acute upper respiratory infections,Understanding general practitionersâ views and experiences of using clinical prediction rules in the management of respiratory infections: a qualitative study,"Inappropriate use of antibiotics continues to contribute to bacteria becoming resistant to treatment. A number of guidance sheets have been developed to help doctors decide when it is appropriate to prescribe antibiotics for respiratory tract infections such as sore throat, but it is not clear if they use these in their decision-making process. Limited evidence suggests doctors may not be familiar with these guidance sheets or prefer to use their own clinical judgement. Our study aims to explore UK doctorsâ views and experiences of using these (electronic) guidance sheets for respiratory tract infections. We will interview about 25-30 doctors from a range of urban, rural, large and small practices and with a mix of gender, age and years of experience, over the phone. We will ask them questions about barriers and facilitators of using these sheets during consultations. We will also explore whether uptake varies with years of clinical experience and across practices. The findings of the study will improve our understanding of reasons for using or not using guidance sheets and will allow more acceptable guidance sheets to be developed in the future to encourage more widespread adoption by doctors in practice. This in turn will reduce unnecessary antibiotic prescribing and resistant bacteria.",Qualified GPs currently working in hours in a general practice surgery and working with patients with RTIs.
Acute upper respiratory infections,PREparing for Improving the use of NHS primary care services and Antibiotics for children with respiratory Tract infections,"Respiratory tract infections (RTI) are common childhood illnesses. RTIs are the most common reason for child visits to primary care and also the most common reason for children to be given antibiotics. Most RTIs will get better without treatment, but a small minority develop into a more severe illness. Too many antibiotics are prescribed for childrenâs RTIs, contributing to the rise of antibiotic resistant bacteria. We propose to conduct interviews with clinicians to identify the optimal characteristics of an online tool for both parents and clinicians. During interview with primary care clinicians (GP and practice nurses) we will discuss the potential for incorporating a web-tool into their systems for a) supporting evidence-based antibiotic prescribing by clinicians and b) providing better information to parents about managing RTI in children, including supporting parents to decide when to seek an appointment or treatment. The Pre-INACT study will (overall) involve three research activities. The first a systematic review, followed by focus group sessions with parents. We are not seeking NHS ethics/HRA approval for the focus group sessions as this will be done in community settings with pre-existing parent groups. We are however seeking ethical consideration for this component of the Pre-INACT study from the University of Bristol's faculty of Medicine and Dentistry. We therefore wish to apply for HRA approval for up to 30 qualitative interviews with primary care staff (GPs/Practice Nurses and other associated healthcare professionals). These interviews will be conducted on NHS premises with the support of the local Clinical Research Networks (CRN).",Recruitment of clinician participants We will aim to recruit clinicians (GPs/practice nurses/and other associated staff) from practices serving different populations to reflect a mix of social/economic and ethic groups.
Acute upper respiratory infections,Reducing recurrent respiratory infections in primary care: The Immune Defence Study,"A range of viruses circulate each winter and cause respiratory infections (RTIs) (the viruses that causes colds, sore throats, sinus, chest or ear infections, flu). These can lead to people being off work, to seeking help from the NHS, and to be admitted to hospital in winter months. The combined effect of both the normal winter viruses (and also the COVID virus in the current pandemic) are likely to cause major problem for the NHS not only during the coming 2020-21 winter season but in subsequent years. There is promising evidence that using nasal sprays, or alternatively reducing stress and increasing exercise, could help peopleâs immune defences, reduce the number of people getting infections, reduce how severe illnesses are and how long they last. The NIHR has funded the RECUR Programme to develop and trial interventions to find out if they reduce the incidence of infections. We have developed a website called Immune Defence which will help us to see if using nasal sprays or getting more physically active and reducing stress can help people get fewer and less severe infections. We have involved both a range of patients and also patient representatives as collaborators in the design of our study to help ensure the procedures are relevant and appropriate to patients. We had planned a large feasibility study this year in the 2020-21 winter season, and a full trial in a ânormalâ year in the 2021-2023 winter seasons. However, the stage of development this year and our previous experience of running large similar trials suggests that instead of the feasibility study we can move to a larger full trial straight away among at risk groups so that we generate a sizeable sample during the pandemic. This study will involve approximately 200 GP practices and up to 15000 patients who are at risk from respiratory infections. Patients will be invited to take part in the study through invitation letters from their GP surgery. Those who are interested in taking part will be asked to register online and to answer some questions to ensure the study is right for them. Eligible patients will be randomised to one of the following groups for 12 months: i) A microgel nasal spray ii) Saline nasal spray, iii) Getting Active and Reducing Stress or iv) Usual Care. Participants will be asked to complete monthly questionnaires for 6 months, and more detailed questionnaires at 3, 6 and 12 months about any infections and about their general health. Patients happy to do so will complete a daily diary of symptoms if they do become unwell to give a more detailed understanding of the course of each illness. A sample of patients and healthcare practitioners will be asked to take part in a telephone interview about their experiences of taking part in the trial.",1) Patients aged > = 18 years with a risk factor: - Known weakened immune system due to a serious illness or medication (e.g. chemotherapy); - Known heart disease; - Known asthma or lung disease; - Known diabetes not treated with insulin; - Known mild hepatic impairment; - Known stroke or neurological problem;g) - Obesity (BMI> 30) - Patients with > = 3 episodes of an RTI in the last year 2) Patients aged > = 65years 3) Have access to the internet
Aplastic and other anaemias,"Incidence of Invasive Fungal Disease in Patients receiving Immunosuppressive Therapy, Intensive Chemotherapy or Reduced Intensity Haematopoietic Stem Cell Transplantation on Posaconazole Prophylaxis","This study aims to assess the impact of using tablet posaconazole (an anti-fungal agent) on the incidence of invasive fungal disease (IFD) in patients with aplastic anaemia, Myelodysplasia (MDS) or Acute Myeloid Leukaemia (AML) who are undergoing immuosuppressive therapy, intensive chemotherapy or RIC allogeneic haematopoietic stem cell transplant (HSCT).    The study will be open to recruitment for 12 to 24 months.  Participants enrolled on the study will be treated according to standard care with an additional CT scan at study entry (if one has not been performed within two weeks of study entry) and additional blood tests taken at the same time as routine samples.  Clinical, laboratory and radiological information taken as part of normal care will be prospectively collected for this study.  Each patient will be followed up for at least 16 weeks from the last admission for chemotherapy, immunosuppressive therapy or transplant with no ongoing complications such as GVHD.","1. Adult > or = to 18 years  2. Patients with aplastic anaemia, MDS or AML undergoing: IST; or Intensive chemotherapy such as induction chemotherapy; or RIC allogeneic HSCT  3. Able to swallow and retain orally administered medication  4. Patients must agree to use and apply with effective contraception without interruption throughout the duration of study drug therapy"
